,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
count,7448.0,7448.0,7448.0,7448.0,7448.0,7448.0,7448.0,7448.0,7448.0,7448.0,7448.0,7448.0,7448.0,7448.0,7448.0
mean,9543.998388829215,6.086331901181525,64081.630343716424,27.544441460794843,0.26879699248120303,0.31699785177228784,0.2193877551020408,0.13909774436090225,0.04081632653061224,0.010875402792696026,0.004027926960257788,0.3916487647690655,0.004296455424274973,0.0757250268528464,0.5283297529538131
std,6308.53275344379,6.700758136675482,46933.14019851072,6.1462556862029585,0.44336391581188567,0.465337820540241,0.41385959546614576,0.3460717297274817,0.19787776837539778,0.10372354071434481,0.06334225655263295,0.4881516198035508,0.06541078163441306,0.2645754064095563,0.4992302954462314
min,500.0,0.0,4000.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,5000.0,2.0,38000.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,8000.0,4.0,55000.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75%,12068.75,8.0,78000.0,30.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
max,35000.0,62.0,1200000.0,94.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
