year,category,nominee,movie,winner,id
2003,actress in a leading role,Samantha Morton,In America,0,1334
2001,actress in a supporting role,Marisa Tomei,In the Bedroom,0,989
2001,actress in a leading role,Sissy Spacek,In the Bedroom,0,1377
2001,actor in a leading role,Tom Wilkinson,In the Bedroom,0,1460
2007,actor in a leading role,Tommy Lee Jones,In the Valley of Elah,0,1464
2009,actor in a supporting role,Christoph Waltz,Inglourious Basterds,1,247
2007,actor in a supporting role,Hal Holbrook,Into the Wild,0,542
2009,actor in a supporting role,Matt Damon,Invictus,0,1025
2009,actor in a leading role,Morgan Freeman,Invictus,0,1116
2001,actor in a supporting role,Jim Broadbent,Iris,1,736
2001,actress in a leading role,Judi Dench,Iris,0,815
2001,actress in a supporting role,Kate Winslet,Iris,0,852
2009,actress in a leading role,Meryl Streep,Julie & Julia,0,1065
2005,actress in a supporting role,Amy Adams,Junebug,0,43
2007,actress in a leading role,Ellen Page,Juno,0,391
2004,actress in a supporting role,Laura Linney,Kinsey,0,898
2007,actress in a leading role,Marion Cotillard,La Vie en Rose,1,986
2012,actress in a supporting role,Anne Hathaway,Les Mis_rables,1,78
2012,actor in a leading role,Hugh Jackman,Les Mis_rables,0,576
2012,actor in a leading role,Daniel Day-Lewis,Lincoln,1,288
2012,actress in a supporting role,Sally Field,Lincoln,0,1325
2012,actor in a supporting role,Tommy Lee Jones,Lincoln,0,1465
2006,actor in a supporting role,Jackie Earle Haley,Little Children,0,634
2006,actress in a leading role,Kate Winslet,Little Children,0,854
2006,actress in a supporting role,Abigail Breslin,Little Miss Sunshine,0,1
2006,actor in a supporting role,Alan Arkin,Little Miss Sunshine,1,22
2003,actor in a leading role,Bill Murray,Lost in Translation,0,155
2004,actress in a leading role,Catalina Sandino Moreno,Maria Full of Grace,0,202
2007,actor in a leading role,George Clooney,Michael Clayton,0,477
2007,actress in a supporting role,Tilda Swinton,Michael Clayton,1,1442
2007,actor in a supporting role,Tom Wilkinson,Michael Clayton,0,1461
2008,actor in a supporting role,Josh Brolin,Milk,0,805
2008,actor in a leading role,Sean Penn,Milk,1,1346
2004,actor in a leading role,Clint Eastwood,Million Dollar Baby,0,268
2004,actress in a leading role,Hilary Swank,Million Dollar Baby,1,566
2004,actor in a supporting role,Morgan Freeman,Million Dollar Baby,1,1115
2011,actor in a leading role,Brad Pitt,Moneyball,0,168
2011,actor in a supporting role,Jonah Hill,Moneyball,0,799
2003,actress in a leading role,Charlize Theron,Monster,1,234
2001,actress in a leading role,Halle Berry,Monster's Ball,1,544
2001,actress in a leading role,Nicole Kidman,Moulin Rouge,0,1133
2005,actress in a leading role,Judi Dench,Mrs. Henderson Presents,0,816
2011,actor in a supporting role,Kenneth Branagh,My Week with Marilyn,0,879
2011,actress in a leading role,Michelle Williams,My Week with Marilyn,0,1088
2003,actress in a supporting role,Marcia Gay Harden,Mystic River,0,974
2003,actor in a leading role,Sean Penn,Mystic River,1,1345
2003,actor in a supporting role,Tim Robbins,Mystic River,1,1443
2009,actress in a supporting role,Pen_lope Cruz,Nine,0,1185
2007,actor in a supporting role,Javier Bardem,No Country for Old Men,1,693
2005,actress in a leading role,Charlize Theron,North Country,0,235
2005,actress in a supporting role,Frances McDormand,North Country,0,430
2006,actress in a supporting role,Cate Blanchett,Notes on a Scandal,0,205
2006,actress in a leading role,Judi Dench,Notes on a Scandal,0,817
2003,actress in a supporting role,Patricia Clarkson,Pieces of April,0,1154
2003,actor in a leading role,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,0,792
2000,actor in a leading role,Ed Harris,Pollock,0,356
2000,actress in a supporting role,Marcia Gay Harden,Pollock,1,973
2009,actress in a leading role,Gabourey Sidibe,Precious: Based on the Novel 'Push' by Sapphire,0,441
2009,actress in a supporting role,Mo'Nique,Precious: Based on the Novel 'Push' by Sapphire,1,1105
2005,actress in a leading role,Keira Knightley,Pride & Prejudice,0,875
2000,actor in a leading role,Geoffrey Rush,Quills,0,468
2010,actress in a leading role,Nicole Kidman,Rabbit Hole,0,1135
2008,actress in a leading role,Anne Hathaway,Rachel Getting Married,0,77
2004,actor in a leading role,Jamie Foxx,Ray,1,664
2000,actress in a leading role,Ellen Burstyn,Requiem for a Dream,0,389
2008,actor in a supporting role,Michael Shannon,Revolutionary Road,0,1081
2002,actor in a supporting role,Paul Newman,Road to Perdition,0,1173
2001,actor in a supporting role,Ben Kingsley,Sexy Beast,0,136
2000,actor in a supporting role,Willem Dafoe,Shadow of the Vampire,0,1520
2004,actor in a supporting role,Thomas Haden Church,Sideways,0,1439
2004,actress in a supporting role,Virginia Madsen,Sideways,0,1490
2012,actor in a leading role,Bradley Cooper,Silver Linings Playbook,0,169
2012,actress in a supporting role,Jacki Weaver,Silver Linings Playbook,0,633
2012,actress in a leading role,Jennifer Lawrence,Silver Linings Playbook,1,718
2012,actor in a supporting role,Robert De Niro,Silver Linings Playbook,0,1263
2003,actress in a leading role,Diane Keaton,Something's Gotta Give,0,323
2007,actor in a leading role,Johnny Depp,Sweeney Todd The Demon Barber of Fleet Street,0,794
2005,actor in a supporting role,George Clooney,Syriana,1,476
2011,actress in a supporting role,B_r_nice Bejo,The Artist,0,140
2011,actor in a leading role,Jean Dujardin,The Artist,1,697
2007,actor in a supporting role,Casey Affleck,The Assassination of Jesse James by the Coward Robert Ford,0,201
2004,actor in a supporting role,Alan Alda,The Aviator,0,19
2004,actress in a supporting role,Cate Blanchett,The Aviator,1,204
2004,actor in a leading role,Leonardo DiCaprio,The Aviator,0,926
2009,actress in a leading role,Sandra Bullock,The Blind Side,1,1336
2005,actress in a supporting role,Rachel Weisz,The Constant Gardener,1,1219
2000,actor in a supporting role,Jeff Bridges,The Contender,0,706
