id,url,name,season,number,type,airdate,airtime,airstamp,runtime,rating,image,summary,links
202,https://www.tvmaze.com/episodes/202/homeland-2x02-beirut-is-back,Beirut is Back,2,2,regular,2012-10-07,22:00,2012-10-08T02:00:00+00:00,60,9,https://static.tvmaze.com/uploads/images/medium_landscape/5/14591.jpg,"Carrie reluctantly returns to Beirut and an operation that might possibly spell the end of Abu Nazir; back in Washington, Brody is pressed into service by his handler, and his relationship with Jessica deteriorates. Meanwhile, Capt. Mike Faber has questions about the shooting of Elizabeth Gaines.",https://api.tvmaze.com/episodes/202
203,https://www.tvmaze.com/episodes/203/homeland-2x03-state-of-independence,State of Independence,2,3,regular,2012-10-14,22:00,2012-10-15T02:00:00+00:00,60,8.5,https://static.tvmaze.com/uploads/images/medium_landscape/5/14592.jpg,"The results of Carrie's Beirut mission lead her to believe that she'll be rejoining the CIA; and Brody discovers that the bomb maker is on a watch list and in imminent danger of being caught. Meanwhile, Jessica steps into the political spotlight.",https://api.tvmaze.com/episodes/203
204,https://www.tvmaze.com/episodes/204/homeland-2x04-new-car-smell,New Car Smell,2,4,regular,2012-10-21,22:00,2012-10-22T02:00:00+00:00,60,8.8,https://static.tvmaze.com/uploads/images/medium_landscape/5/14593.jpg,"Estes green-lights a covert mission based on intelligence gleaned from Beirut, and picks his own trusted operative to lead it; and Brody is shocked to bump into Carrie at Langley. Meanwhile, Dana and the vice president's son appear to have something in common.",https://api.tvmaze.com/episodes/204
205,https://www.tvmaze.com/episodes/205/homeland-2x05-qa,Q&A,2,5,regular,2012-10-28,22:00,2012-10-29T02:00:00+00:00,60,9.1,https://static.tvmaze.com/uploads/images/medium_landscape/5/14594.jpg,"Brody finds himself prisoner again, but this time it's on American soil.",https://api.tvmaze.com/episodes/205
206,https://www.tvmaze.com/episodes/206/homeland-2x06-a-gettysburg-address,A Gettysburg Address,2,6,regular,2012-11-04,22:00,2012-11-05T03:00:00+00:00,60,8.5,https://static.tvmaze.com/uploads/images/medium_landscape/5/14595.jpg,"Dana's visit to the hospital proves shocking; Faber's interest in Tom Walker piques the CIA's interest; Brody agrees to team with Carrie and Quinn to prevent an attack on the U.S., but his loyalty is called to the fore when Gettysburg once again becomes a focal point of a pivotal engagement.",https://api.tvmaze.com/episodes/206
207,https://www.tvmaze.com/episodes/207/homeland-2x07-the-clearing,The Clearing,2,7,regular,2012-11-11,22:00,2012-11-12T03:00:00+00:00,60,7.8,https://static.tvmaze.com/uploads/images/medium_landscape/5/14596.jpg,"In the aftermath of the ambush, Carrie and the team scramble to gain control of the operation, while Brody attends a well-heeled fund-raiser at a Virginia horse farm. Elsewhere, Saul drops in on Aileen, who is in solitary confinement, hoping she can shed some light on the latest attack; and a conflicted Dana leans on Finn to fess up to their crime.",https://api.tvmaze.com/episodes/207
208,https://www.tvmaze.com/episodes/208/homeland-2x08-ill-fly-away,I'll Fly Away,2,8,regular,2012-11-18,22:00,2012-11-19T03:00:00+00:00,60,8.2,https://static.tvmaze.com/uploads/images/medium_landscape/5/14597.jpg,"Brody's juggling of alliances appear to be leading him to a major meltdown, so Carrie, against Quinn's orders, stages a dicey intervention. Meanwhile, a conflicted Dana seeks comfort from an unlikely source.",https://api.tvmaze.com/episodes/208
209,https://www.tvmaze.com/episodes/209/homeland-2x09-two-hats,Two Hats,2,9,regular,2012-11-25,22:00,2012-11-26T03:00:00+00:00,60,8.4,https://static.tvmaze.com/uploads/images/medium_landscape/5/14598.jpg,"Things for Brody are threatening to spiral out of control, forcing him to make a phone call he has been avoiding; Carrie preps for a pivotal meeting; Saul teams with Virgil and Max for an assignment.",https://api.tvmaze.com/episodes/209
210,https://www.tvmaze.com/episodes/210/homeland-2x10-broken-hearts,Broken Hearts,2,10,regular,2012-12-02,22:00,2012-12-03T03:00:00+00:00,60,8.3,https://static.tvmaze.com/uploads/images/medium_landscape/5/14599.jpg,"Brody and Walden develop a chink in their political relationship, and it may impact their future, while Dana and Finn come to an understanding concerning their differences. Meanwhile, Carrie discovers she's not as looped in as she thought.",https://api.tvmaze.com/episodes/210
211,https://www.tvmaze.com/episodes/211/homeland-2x11-in-memoriam,In Memoriam,2,11,regular,2012-12-09,22:00,2012-12-10T03:00:00+00:00,60,8.6,https://static.tvmaze.com/uploads/images/medium_landscape/5/14600.jpg,"Carrie's hunt for Nazir continues, but she suspects something's amiss inside the Agency, while interrogation reveals Roya's true colours. Meanwhile, unexpected circumstances put Saul's career in jeopardy",https://api.tvmaze.com/episodes/211
